"Step","magic-salad-1128 - loss","magic-salad-1128 - loss__MIN","magic-salad-1128 - loss__MAX"
"0","51480.94921875","51480.94921875","51480.94921875"
"13","52114.64453125","52114.64453125","52114.64453125"
"14","51781.91796875","51781.91796875","51781.91796875"
"15","52170.28125","52170.28125","52170.28125"
"16","51649.2734375","51649.2734375","51649.2734375"
"17","51953.16796875","51953.16796875","51953.16796875"
"18","51732.8359375","51732.8359375","51732.8359375"
"19","51728.0625","51728.0625","51728.0625"
"20","51596.30078125","51596.30078125","51596.30078125"
"21","51888.14453125","51888.14453125","51888.14453125"
"22","51405.24609375","51405.24609375","51405.24609375"
"23","51676.46484375","51676.46484375","51676.46484375"
"24","51815.3515625","51815.3515625","51815.3515625"
"25","51411.3515625","51411.3515625","51411.3515625"
"26","51841.578125","51841.578125","51841.578125"
"27","51305.59765625","51305.59765625","51305.59765625"
"28","51792.08203125","51792.08203125","51792.08203125"
"29","51425.95703125","51425.95703125","51425.95703125"
"30","51636.6484375","51636.6484375","51636.6484375"
"31","51194.89453125","51194.89453125","51194.89453125"
"32","51304.546875","51304.546875","51304.546875"
"33","51618.38671875","51618.38671875","51618.38671875"
"34","50973.171875","50973.171875","50973.171875"
"35","50853.41796875","50853.41796875","50853.41796875"
"36","50813.046875","50813.046875","50813.046875"
"37","50371.64453125","50371.64453125","50371.64453125"
"38","50513.37109375","50513.37109375","50513.37109375"
"39","49725.07421875","49725.07421875","49725.07421875"
"40","49690.84765625","49690.84765625","49690.84765625"
"41","49915.28125","49915.28125","49915.28125"
"42","48872.93359375","48872.93359375","48872.93359375"
"43","48741.21875","48741.21875","48741.21875"
"44","47887.828125","47887.828125","47887.828125"
"45","47739.671875","47739.671875","47739.671875"
"46","47382.07421875","47382.07421875","47382.07421875"
"47","46797.1875","46797.1875","46797.1875"
"48","46454.9375","46454.9375","46454.9375"
"49","45993.70703125","45993.70703125","45993.70703125"
"50","45926.4375","45926.4375","45926.4375"
"51","45512.04296875","45512.04296875","45512.04296875"
"52","45709.46484375","45709.46484375","45709.46484375"
"53","44985.6015625","44985.6015625","44985.6015625"
"54","44799.47265625","44799.47265625","44799.47265625"
"55","44984.53515625","44984.53515625","44984.53515625"
"56","44587.66015625","44587.66015625","44587.66015625"
"57","43784.16796875","43784.16796875","43784.16796875"
"58","43706.62109375","43706.62109375","43706.62109375"
"59","43365.22265625","43365.22265625","43365.22265625"
"60","43610.34765625","43610.34765625","43610.34765625"
"61","43060.7890625","43060.7890625","43060.7890625"
"62","42581.828125","42581.828125","42581.828125"
"63","42105.06640625","42105.06640625","42105.06640625"
"64","42069.1015625","42069.1015625","42069.1015625"
"65","41600.79296875","41600.79296875","41600.79296875"
"66","41296.546875","41296.546875","41296.546875"
"67","40750.41015625","40750.41015625","40750.41015625"
"68","40367.28515625","40367.28515625","40367.28515625"
"69","40008.06640625","40008.06640625","40008.06640625"
"70","39792.91796875","39792.91796875","39792.91796875"
"71","39096.06640625","39096.06640625","39096.06640625"
"72","38877.6328125","38877.6328125","38877.6328125"
"73","38343.15234375","38343.15234375","38343.15234375"
"74","37789.92578125","37789.92578125","37789.92578125"
"75","37190.01953125","37190.01953125","37190.01953125"
"76","37008.296875","37008.296875","37008.296875"
"77","36508.015625","36508.015625","36508.015625"
"78","35985.28125","35985.28125","35985.28125"
"79","35302.7578125","35302.7578125","35302.7578125"
"80","35075.31640625","35075.31640625","35075.31640625"
"81","34564.29296875","34564.29296875","34564.29296875"
"82","33947.0078125","33947.0078125","33947.0078125"
"83","32902.3984375","32902.3984375","32902.3984375"
"84","32974.1484375","32974.1484375","32974.1484375"
"85","32067.724609375","32067.724609375","32067.724609375"
"86","31468.587890625","31468.587890625","31468.587890625"
"87","30562.283203125","30562.283203125","30562.283203125"
"88","30285.505859375","30285.505859375","30285.505859375"
"89","29718.240234375","29718.240234375","29718.240234375"
"90","28760.87890625","28760.87890625","28760.87890625"
"91","27989.109375","27989.109375","27989.109375"
"92","27722.4296875","27722.4296875","27722.4296875"
"93","26770.4140625","26770.4140625","26770.4140625"
"94","26392.974609375","26392.974609375","26392.974609375"
"95","25240.92578125","25240.92578125","25240.92578125"
"96","24797.462890625","24797.462890625","24797.462890625"
"97","24141.251953125","24141.251953125","24141.251953125"
"98","23569.1015625","23569.1015625","23569.1015625"
"99","23011.578125","23011.578125","23011.578125"
"100","22476.466796875","22476.466796875","22476.466796875"
"101","21617.416015625","21617.416015625","21617.416015625"
"102","20807.568359375","20807.568359375","20807.568359375"
"103","20347.671875","20347.671875","20347.671875"
"104","19641.171875","19641.171875","19641.171875"
"105","18956.5390625","18956.5390625","18956.5390625"
"106","18227.046875","18227.046875","18227.046875"
"107","17734.865234375","17734.865234375","17734.865234375"
"108","17095.984375","17095.984375","17095.984375"
"109","16273.673828125","16273.673828125","16273.673828125"
"110","15626.419921875","15626.419921875","15626.419921875"
"111","14810.390625","14810.390625","14810.390625"
"112","14101.5185546875","14101.5185546875","14101.5185546875"
"125","13378.5927734375","13378.5927734375","13378.5927734375"
"126","12766.2333984375","12766.2333984375","12766.2333984375"
"127","12110.0478515625","12110.0478515625","12110.0478515625"
"128","11384.955078125","11384.955078125","11384.955078125"
"129","10733.1376953125","10733.1376953125","10733.1376953125"
"130","10092.9755859375","10092.9755859375","10092.9755859375"
"131","9372.0302734375","9372.0302734375","9372.0302734375"
"132","8750.017578125","8750.017578125","8750.017578125"
"133","8241.970703125","8241.970703125","8241.970703125"
"134","7712.7431640625","7712.7431640625","7712.7431640625"
"135","7315.61865234375","7315.61865234375","7315.61865234375"
"136","6971.537109375","6971.537109375","6971.537109375"
"137","6624.578125","6624.578125","6624.578125"
"138","6197.1640625","6197.1640625","6197.1640625"
"139","5867.94921875","5867.94921875","5867.94921875"
"140","5547.8408203125","5547.8408203125","5547.8408203125"
"141","5119.5830078125","5119.5830078125","5119.5830078125"
"142","4888.7490234375","4888.7490234375","4888.7490234375"
"143","4616.57080078125","4616.57080078125","4616.57080078125"
"144","4380.419921875","4380.419921875","4380.419921875"
"145","4145.02197265625","4145.02197265625","4145.02197265625"
"146","4002.47216796875","4002.47216796875","4002.47216796875"
"147","3736.015625","3736.015625","3736.015625"
"148","3521.15625","3521.15625","3521.15625"
"149","3392.734619140625","3392.734619140625","3392.734619140625"
"150","3168.8212890625","3168.8212890625","3168.8212890625"
"151","3103.7236328125","3103.7236328125","3103.7236328125"
"152","2960.1689453125","2960.1689453125","2960.1689453125"
"153","2836.864013671875","2836.864013671875","2836.864013671875"
"154","2775.14306640625","2775.14306640625","2775.14306640625"
"155","2698.540771484375","2698.540771484375","2698.540771484375"
"156","2615.156005859375","2615.156005859375","2615.156005859375"
"157","2592.77880859375","2592.77880859375","2592.77880859375"
"158","2469.951171875","2469.951171875","2469.951171875"
"159","2447.996337890625","2447.996337890625","2447.996337890625"
"160","2387.54150390625","2387.54150390625","2387.54150390625"
"161","2338.119140625","2338.119140625","2338.119140625"
"162","2311.011474609375","2311.011474609375","2311.011474609375"
"163","2268.763671875","2268.763671875","2268.763671875"
"164","2196.867431640625","2196.867431640625","2196.867431640625"
"165","2209.93603515625","2209.93603515625","2209.93603515625"
"166","2253.890625","2253.890625","2253.890625"
"167","2235.381591796875","2235.381591796875","2235.381591796875"
"168","2343.172607421875","2343.172607421875","2343.172607421875"
"169","2148.20751953125","2148.20751953125","2148.20751953125"
"170","2113.53955078125","2113.53955078125","2113.53955078125"
"171","2089.357421875","2089.357421875","2089.357421875"
"172","2004.0372314453125","2004.0372314453125","2004.0372314453125"
"173","1948.1068115234375","1948.1068115234375","1948.1068115234375"
"174","2005.93505859375","2005.93505859375","2005.93505859375"
"175","1946.2265625","1946.2265625","1946.2265625"
"176","1929.9569091796875","1929.9569091796875","1929.9569091796875"
"177","1873.5015869140625","1873.5015869140625","1873.5015869140625"
"178","1782.950927734375","1782.950927734375","1782.950927734375"
"179","1729.781494140625","1729.781494140625","1729.781494140625"
"180","1712.903564453125","1712.903564453125","1712.903564453125"
"181","1635.136474609375","1635.136474609375","1635.136474609375"
"182","1637.370361328125","1637.370361328125","1637.370361328125"
"183","1574.450927734375","1574.450927734375","1574.450927734375"
"184","1524.428955078125","1524.428955078125","1524.428955078125"
"185","1486.152099609375","1486.152099609375","1486.152099609375"
"186","1480.209228515625","1480.209228515625","1480.209228515625"
"187","1448.3057861328125","1448.3057861328125","1448.3057861328125"
"188","1425.2293701171875","1425.2293701171875","1425.2293701171875"
"189","1404.596923828125","1404.596923828125","1404.596923828125"
"190","1332.874755859375","1332.874755859375","1332.874755859375"
"191","1283.4569091796875","1283.4569091796875","1283.4569091796875"
"192","1302.3778076171875","1302.3778076171875","1302.3778076171875"
"193","1219.387451171875","1219.387451171875","1219.387451171875"
"194","1227.6837158203125","1227.6837158203125","1227.6837158203125"
"195","1158.7415771484375","1158.7415771484375","1158.7415771484375"
"196","1101.68505859375","1101.68505859375","1101.68505859375"
"197","1104.254638671875","1104.254638671875","1104.254638671875"
"198","1011.9557495117188","1011.9557495117188","1011.9557495117188"
"199","959.385986328125","959.385986328125","959.385986328125"
"200","995.880615234375","995.880615234375","995.880615234375"
"201","939.4202880859375","939.4202880859375","939.4202880859375"
"202","912.5457763671875","912.5457763671875","912.5457763671875"
"203","839.870849609375","839.870849609375","839.870849609375"
"204","791.3162841796875","791.3162841796875","791.3162841796875"
"205","742.853759765625","742.853759765625","742.853759765625"
"206","758.7693481445312","758.7693481445312","758.7693481445312"
"207","729.5496215820312","729.5496215820312","729.5496215820312"
"208","664.2771606445312","664.2771606445312","664.2771606445312"
"209","688.2129516601562","688.2129516601562","688.2129516601562"
"210","683.8541870117188","683.8541870117188","683.8541870117188"
"211","639.7113037109375","639.7113037109375","639.7113037109375"
"212","622.28369140625","622.28369140625","622.28369140625"
"213","583.72216796875","583.72216796875","583.72216796875"
"214","533.583740234375","533.583740234375","533.583740234375"
"215","593.6768798828125","593.6768798828125","593.6768798828125"
"216","549.5394287109375","549.5394287109375","549.5394287109375"
"217","517.5318603515625","517.5318603515625","517.5318603515625"
"218","506.803955078125","506.803955078125","506.803955078125"
"219","457.2074890136719","457.2074890136719","457.2074890136719"
"220","469.9866027832031","469.9866027832031","469.9866027832031"
"221","480.224609375","480.224609375","480.224609375"
"222","458.9720458984375","458.9720458984375","458.9720458984375"
"223","424.00933837890625","424.00933837890625","424.00933837890625"
"224","454.88653564453125","454.88653564453125","454.88653564453125"
"237","438.6925048828125","438.6925048828125","438.6925048828125"
"238","452.1535339355469","452.1535339355469","452.1535339355469"
"239","430.28509521484375","430.28509521484375","430.28509521484375"
"240","406.08990478515625","406.08990478515625","406.08990478515625"
"241","402.33001708984375","402.33001708984375","402.33001708984375"
"242","427.8445129394531","427.8445129394531","427.8445129394531"
"243","391.4145812988281","391.4145812988281","391.4145812988281"
"244","326.8235778808594","326.8235778808594","326.8235778808594"
"245","373.1322021484375","373.1322021484375","373.1322021484375"
"246","352.7559814453125","352.7559814453125","352.7559814453125"
"247","312.1319580078125","312.1319580078125","312.1319580078125"
"248","310.23931884765625","310.23931884765625","310.23931884765625"
"249","306.1447448730469","306.1447448730469","306.1447448730469"
"250","295.3800048828125","295.3800048828125","295.3800048828125"
"251","304.78546142578125","304.78546142578125","304.78546142578125"
"252","286.44207763671875","286.44207763671875","286.44207763671875"
"253","341.44451904296875","341.44451904296875","341.44451904296875"
"254","259.335693359375","259.335693359375","259.335693359375"
"255","252.7580108642578","252.7580108642578","252.7580108642578"
"256","263.3321228027344","263.3321228027344","263.3321228027344"
"257","234.2225341796875","234.2225341796875","234.2225341796875"
"258","271.4417724609375","271.4417724609375","271.4417724609375"
"259","249.5626983642578","249.5626983642578","249.5626983642578"
"260","283.74072265625","283.74072265625","283.74072265625"
"261","287.7254333496094","287.7254333496094","287.7254333496094"
"262","284.95184326171875","284.95184326171875","284.95184326171875"
"263","295.82861328125","295.82861328125","295.82861328125"
"264","259.9751281738281","259.9751281738281","259.9751281738281"
"265","298.099853515625","298.099853515625","298.099853515625"
"266","253.40420532226562","253.40420532226562","253.40420532226562"
"267","252.3857421875","252.3857421875","252.3857421875"
"268","214.48516845703125","214.48516845703125","214.48516845703125"
"269","333.34765625","333.34765625","333.34765625"
"270","303.51055908203125","303.51055908203125","303.51055908203125"
"271","226.58712768554688","226.58712768554688","226.58712768554688"
"272","232.67645263671875","232.67645263671875","232.67645263671875"
"273","265","265","265"
"274","230.17230224609375","230.17230224609375","230.17230224609375"
"275","221.11993408203125","221.11993408203125","221.11993408203125"
"276","275.4029541015625","275.4029541015625","275.4029541015625"
"277","215.21923828125","215.21923828125","215.21923828125"
"278","294.07440185546875","294.07440185546875","294.07440185546875"
"279","251.0341796875","251.0341796875","251.0341796875"
"280","204.311767578125","204.311767578125","204.311767578125"
"281","260.16644287109375","260.16644287109375","260.16644287109375"
"282","239.16183471679688","239.16183471679688","239.16183471679688"
"283","237.35452270507812","237.35452270507812","237.35452270507812"
"284","190.720458984375","190.720458984375","190.720458984375"
"285","242.3668212890625","242.3668212890625","242.3668212890625"
"286","212.49789428710938","212.49789428710938","212.49789428710938"
"287","209.06216430664062","209.06216430664062","209.06216430664062"
"288","240.02737426757812","240.02737426757812","240.02737426757812"
"289","225.0502471923828","225.0502471923828","225.0502471923828"
"290","221.7274169921875","221.7274169921875","221.7274169921875"
"291","242.26651000976562","242.26651000976562","242.26651000976562"
"292","165.9073486328125","165.9073486328125","165.9073486328125"
"293","214.21743774414062","214.21743774414062","214.21743774414062"
"294","185.0631103515625","185.0631103515625","185.0631103515625"
"295","170.18917846679688","170.18917846679688","170.18917846679688"
"296","184.134033203125","184.134033203125","184.134033203125"
"297","163.59117126464844","163.59117126464844","163.59117126464844"
"298","166.52259826660156","166.52259826660156","166.52259826660156"
"299","247.36721801757812","247.36721801757812","247.36721801757812"
"300","225.6301727294922","225.6301727294922","225.6301727294922"
"301","210.36651611328125","210.36651611328125","210.36651611328125"
"302","186.56661987304688","186.56661987304688","186.56661987304688"
"303","265.2489318847656","265.2489318847656","265.2489318847656"
"304","194.36782836914062","194.36782836914062","194.36782836914062"
"305","192.69422912597656","192.69422912597656","192.69422912597656"
"306","245.19866943359375","245.19866943359375","245.19866943359375"
"307","207.0081787109375","207.0081787109375","207.0081787109375"
"308","194.09466552734375","194.09466552734375","194.09466552734375"
"309","197.0993194580078","197.0993194580078","197.0993194580078"
"310","163.28480529785156","163.28480529785156","163.28480529785156"
"311","169.00143432617188","169.00143432617188","169.00143432617188"
"312","196.3385009765625","196.3385009765625","196.3385009765625"
"313","176.38778686523438","176.38778686523438","176.38778686523438"
"314","154.3103485107422","154.3103485107422","154.3103485107422"
